y=1.84211e-08;u=5
y=-1.54168e-09;u=10
y=0.5;u=15
y=0.9;u=18.5238
y=1.32;u=22.2964
y=1.58838;u=25.5408
y=1.91196;u=28.8277
y=2.17169;u=31.5464
y=2.44843;u=34.1736
y=2.66495;u=36.435
y=2.88437;u=38.6103
y=3.06663;u=40.5064
y=3.2477;u=42.2929
y=3.4011;u=43.867
y=3.54907;u=45.339
y=3.67688;u=46.6483
y=3.79852;u=47.8632
y=3.90513;u=48.9498
y=4.00529;u=49.9527
y=4.09392;u=50.8541
y=4.17649;u=51.6828
y=4.25011;u=52.4301
y=4.31826;u=53.1152
y=4.37936;u=53.7344
y=4.43565;u=54.3009
y=4.48631;u=54.8139
y=4.53283;u=55.2825
y=4.57483;u=55.7074
y=4.61329;u=56.0951
y=4.64808;u=56.4469
y=4.67989;u=56.7677
y=4.70871;u=57.059
y=4.73503;u=57.3245
y=4.7589;u=57.5657
y=4.78067;u=57.7853
y=4.80043;u=57.985
y=4.81845;u=58.1668
y=4.83481;u=58.3321
y=4.84972;u=58.4826
y=4.86327;u=58.6194
y=4.87561;u=58.744
y=4.88682;u=58.8573
y=4.89703;u=58.9604
y=4.90632;u=59.0541
y=4.91477;u=59.1394
y=4.92246;u=59.2171
y=4.92945;u=59.2877
y=4.93582;u=59.3519
y=4.94161;u=59.4104
y=4.94687;u=59.4636
y=4.95166;u=59.512
y=4.95602;u=59.556
y=4.95999;u=59.596
y=4.9636;u=59.6325
y=4.96688;u=59.6656
y=4.96987;u=59.6958
y=4.97259;u=59.7232
y=4.97506;u=59.7482
y=4.97731;u=59.7709
y=4.97936;u=59.7916
y=4.98122;u=59.8104
y=4.98291;u=59.8275
y=4.98445;u=59.843
y=4.98586;u=59.8572
y=4.98713;u=59.8701
y=4.98829;u=59.8818
y=4.98935;u=59.8925
y=4.99031;u=59.9022
y=4.99118;u=59.911
y=4.99198;u=59.919
y=4.9927;u=59.9263
y=4.99336;u=59.933
y=4.99396;u=59.939
y=4.9945;u=59.9445
y=4.995;u=59.9495
y=4.99545;u=59.9541
y=4.99586;u=59.9582
y=4.99623;u=59.962
y=4.99657;u=59.9654
y=4.99688;u=59.9685
y=4.99716;u=59.9714
y=4.99742;u=59.974
y=4.99765;u=59.9763
y=4.99786;u=59.9784
y=4.99806;u=59.9804
y=4.99823;u=59.9822
y=4.99839;u=59.9838
y=4.99854;u=59.9852
y=4.99867;u=59.9866
y=4.99879;u=59.9878
y=4.9989;u=59.9889
y=4.999;u=59.9899
y=4.99909;u=59.9908
y=4.99917;u=59.9916
y=4.99925;u=59.9924
y=4.99931;u=59.9931
y=4.99938;u=59.9937
y=4.99943;u=59.9943
y=4.99948;u=59.9948
y=4.99953;u=59.9952
y=4.99957;u=59.9957
y=4.99961;u=59.9961
y=4.99965;u=59.9964
y=4.99968;u=59.9967
y=4.99971;u=59.997
y=4.99973;u=59.9973
y=4.99976;u=59.9975
y=4.99978;u=59.9978
y=4.9998;u=59.998
y=4.99982;u=59.9982
y=4.99983;u=59.9983
y=4.99985;u=59.9985
y=4.99986;u=59.9986
y=4.99987;u=59.9987
y=4.99989;u=59.9988
y=4.9999;u=59.999
y=4.99991;u=59.999
y=4.99991;u=59.9991
y=4.99992;u=59.9992
y=4.99993;u=59.9993
y=4.99994;u=59.9993
y=4.99994;u=59.9994
y=4.99995;u=59.9995
y=4.99995;u=59.9995
y=4.99996;u=59.9996
y=4.99996;u=59.9996
y=4.99996;u=59.9996
y=4.99997;u=59.9997
y=4.99997;u=59.9997
y=4.99997;u=59.9997
y=4.99997;u=59.9997
y=4.99998;u=59.9998
y=4.99998;u=59.9998
y=4.99998;u=59.9998
y=4.99998;u=59.9998
y=4.99998;u=59.9998
y=4.99999;u=59.9999
y=4.99999;u=59.9999
y=4.99999;u=59.9999
y=4.99999;u=59.9999
y=4.99999;u=59.9999
y=4.99999;u=59.9999
y=4.99999;u=59.9999
y=4.99999;u=59.9999
y=4.99999;u=59.9999
y=4.99999;u=59.9999
y=4.99999;u=59.9999
y=4.99999;u=59.9999
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=60
y=5;u=77.7143
y=5;u=92.4762
y=6.77143;u=100
y=7.89333;u=100
y=8.42133;u=100
y=8.31573;u=100
y=8.33685;u=100
y=8.33263;u=100
y=8.33347;u=100
y=8.33331;u=100
y=8.33334;u=100
y=8.33333;u=100
y=8.33333;u=100
y=8.33333;u=100
y=8.33333;u=100
y=8.33333;u=100
y=8.33333;u=98
y=8.33333;u=94.6667
y=8.13333;u=88.381
y=7.84;u=91.5429
